Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
KLF2	-2.88828	6.27E-119	0.197	0.681	2.02E-114
SOCS3	-2.73368	2.62E-118	0.128	0.605	8.45E-114
DUSP1	-1.73963	5.09E-112	0.557	0.948	1.64E-107
FOS	-1.72576	5.97E-106	0.592	0.94	1.93E-101
ACTB	1.920104	9.02E-106	0.999	0.994	2.91E-101
JUNB	-1.28553	5.95E-100	0.73	0.98	1.92E-95
ARHGAP15	-1.66601	7.60E-84	0.272	0.744	2.45E-79
IER2	-1.57343	1.52E-70	0.352	0.78	4.92E-66
SELL	-1.72627	6.71E-64	0.16	0.544	2.17E-59
HMGB2	-1.64846	6.12E-62	0.176	0.554	1.98E-57
ZFP36	-1.45643	1.16E-61	0.351	0.734	3.74E-57
GPCPD1	-1.71073	5.80E-60	0.159	0.522	1.87E-55
LCN2	-2.18276	2.46E-57	0.073	0.351	7.93E-53
CSTB	1.614593	5.80E-57	0.77	0.573	1.87E-52
FTH1	1.198419	7.21E-56	0.993	1	2.33E-51
BTG2	-1.02289	1.20E-55	0.538	0.887	3.86E-51
HP	-0.83515	7.85E-53	0.719	0.96	2.54E-48
EGR1	-2.21877	1.80E-51	0.093	0.363	5.81E-47
NR4A1	-1.57272	2.17E-51	0.199	0.546	7.02E-47
PRTN3	-2.24565	2.08E-50	0.052	0.282	6.72E-46
MMP8	-1.57244	6.67E-50	0.166	0.502	2.15E-45
CTSB	1.141476	2.08E-49	0.875	0.831	6.72E-45
PFN1	0.632992	6.00E-49	0.985	0.974	1.94E-44
CEBPD	-1.74687	2.15E-48	0.123	0.419	6.93E-44
IL1R2	-2.17004	1.27E-47	0.051	0.27	4.11E-43
RIPOR2	-2.62463	1.64E-46	0.037	0.232	5.28E-42
GSR	-0.88197	1.86E-46	0.612	0.919	6.02E-42
TMSB4X	0.341307	1.62E-45	0.999	0.998	5.24E-41
LGMN	1.49006	2.73E-45	0.688	0.492	8.82E-41
FPR2	-2.2458	2.20E-43	0.046	0.248	7.10E-39
DGKG	-2.14675	2.47E-43	0.045	0.246	7.96E-39
F13A1	-1.01393	6.01E-43	0.469	0.821	1.94E-38
ST8SIA4	-2.58062	1.83E-42	0.024	0.185	5.92E-38
S100A8	-1.54036	2.31E-42	0.126	0.407	7.44E-38
SBNO2	-1.62157	3.46E-42	0.122	0.401	1.12E-37
MGST1	-0.98661	1.39E-41	0.416	0.77	4.49E-37
EMB	-0.88272	2.03E-41	0.523	0.861	6.57E-37
H2AZ1	-0.81141	4.12E-41	0.706	0.913	1.33E-36
ADD3	-2.18526	1.10E-40	0.038	0.22	3.56E-36
MCEMP1	-1.01809	3.51E-39	0.309	0.673	1.13E-34
ATRNL1	-1.3197	7.58E-39	0.175	0.474	2.45E-34
LDLRAD3	-2.38487	6.75E-38	0.031	0.194	2.18E-33
SMPDL3A	-0.88142	8.54E-38	0.551	0.847	2.76E-33
JUND	-1.11042	3.25E-37	0.387	0.714	1.05E-32
YPEL3	-1.40415	4.06E-37	0.132	0.397	1.31E-32
IL5	-1.32732	7.95E-36	0.289	0.587	2.57E-31
AP1S2	-1.18462	1.53E-35	0.179	0.48	4.95E-31
RPS9	-0.35701	3.09E-35	0.99	0.998	9.99E-31
LRG1	-1.58785	3.19E-35	0.199	0.47	1.03E-30
JUN	-1.42281	9.43E-35	0.237	0.526	3.05E-30
CERS6	-1.10043	1.01E-34	0.229	0.542	3.26E-30
LGALS1	1.066031	1.12E-34	0.766	0.655	3.60E-30
CDKN2D	-1.49405	1.77E-34	0.107	0.341	5.70E-30
JAML	-2.65954	2.22E-33	0.018	0.145	7.16E-29
C5AR1	1.28904	1.24E-32	0.629	0.393	3.99E-28
F5	-1.84758	2.37E-32	0.051	0.224	7.65E-28
APOE	-1.06108	6.82E-31	0.754	0.877	2.20E-26
IER5	-0.99065	1.12E-30	0.359	0.673	3.61E-26
IL6	-4.20735	2.05E-30	0.006	0.097	6.61E-26
COX7A2L	-0.82262	2.23E-30	0.433	0.756	7.19E-26
FLT3	-3.4673	3.18E-30	0.006	0.097	1.03E-25
EIF4A1	0.65466	3.43E-30	0.893	0.863	1.11E-25
CYBB	-0.91031	6.56E-30	0.378	0.702	2.12E-25
GADD45A	-1.93865	1.50E-29	0.042	0.194	4.85E-25
NFIL3	-1.15602	2.52E-29	0.173	0.435	8.14E-25
CD302	-1.16836	4.80E-29	0.157	0.407	1.55E-24
IRF1	-1.65782	5.76E-29	0.058	0.228	1.86E-24
ANXA2	0.656758	7.12E-29	0.9	0.873	2.30E-24
CTSD	1.329116	1.52E-27	0.678	0.617	4.89E-23
SAMSN1	-1.12274	1.89E-27	0.159	0.407	6.09E-23
GPX4	-0.78484	1.96E-27	0.501	0.778	6.34E-23
MYL12A	0.935326	2.20E-27	0.696	0.611	7.11E-23
ARHGEF37	-1.93492	2.60E-27	0.045	0.192	8.41E-23
CLEC12A	-1.09763	3.75E-27	0.202	0.464	1.21E-22
CSRNP1	-1.21582	5.48E-27	0.097	0.3	1.77E-22
CRIP1	0.577471	8.58E-27	0.953	0.94	2.77E-22
CCR2	-0.66322	1.12E-26	0.602	0.871	3.61E-22
VCAN	-0.95483	1.86E-26	0.309	0.595	6.01E-22
ARID5A	-1.57224	1.94E-26	0.064	0.23	6.25E-22
