"Name"	"Score"
"drug_416.txt"	"drug_416.txt"	8.31883382185443e-07
"drug_411.txt"	"drug_411.txt"	5.74562089619599e-06
"drug_359.txt"	"drug_359.txt"	4.80481254998292e-05
"drug_352.txt"	"drug_352.txt"	7.19159248180504e-05
"5073.txt"	"5073.txt"	0.000143725711309463
"drug_76.txt"	"drug_76.txt"	0.000185611996909992
"drug_410.txt"	"drug_410.txt"	0.000308227378814038
"drug_417.txt"	"drug_417.txt"	0.000322288666717258
"drug_418.txt"	"drug_418.txt"	0.000367719737356543
"drug_419.txt"	"drug_419.txt"	0.000418366689707916
"drug_414.txt"	"drug_414.txt"	0.000631108612114319
"drug_398.txt"	"drug_398.txt"	0.000739602173780209
"Oxprenolol.txt"	"Oxprenolol.txt"	0.000828294818470554
"drug_415.txt"	"drug_415.txt"	0.000828294818470554
"drug_368.txt"	"drug_368.txt"	0.00116949376271978
"drug_353.txt"	"drug_353.txt"	0.00124040255040856
"drug_432.txt"	"drug_432.txt"	0.00133112575139896
"drug_428.txt"	"drug_428.txt"	0.00142235683644404
"drug_74.txt"	"drug_74.txt"	0.00165772254440437
"drug_9.txt"	"drug_9.txt"	0.00193495447153453
"drug_424.txt"	"drug_424.txt"	0.00196571995745072
"drug_357.txt"	"drug_357.txt"	0.00231262834276854
"60606.txt"	"60606.txt"	0.0025445576976375
"Clopidogrel.txt"	"Clopidogrel.txt"	0.0025445576976375
"drug_421.txt"	"drug_421.txt"	0.00267874562921469
"drug_420.txt"	"drug_420.txt"	0.00288547234344378
"drug_240.txt"	"drug_240.txt"	0.0029357526836899
"drug_75.txt"	"drug_75.txt"	0.0029357526836899
"drug_13.txt"	"drug_13.txt"	0.0035558782874651
"drug_423.txt"	"drug_423.txt"	0.0035558782874651
"drug_360.txt"	"drug_360.txt"	0.00380270069756104
"drug_412.txt"	"drug_412.txt"	0.00380270069756104
"drug_370.txt"	"drug_370.txt"	0.0040338604948673
"drug_371.txt"	"drug_371.txt"	0.00406181063530422
"drug_354.txt"	"drug_354.txt"	0.00433358012230263
"drug_22.txt"	"drug_22.txt"	0.00456623429212197
"drug_114.txt"	"drug_114.txt"	0.00456949962157082
"drug_369.txt"	"drug_369.txt"	0.00456949962157082
"drug_431.txt"	"drug_431.txt"	0.00514613510754903
"84029.txt"	"84029.txt"	0.00532853208428456
"drug_413.txt"	"drug_413.txt"	0.00571454141427708
"drug_364.txt"	"drug_364.txt"	0.00575981755829568
"drug_15.txt"	"drug_15.txt"	0.00587363712103442
"drug_366.txt"	"drug_366.txt"	0.00589559151780757
"176870.txt"	"176870.txt"	0.00637323994620134
"drug_239.txt"	"drug_239.txt"	0.0065547977371123
"drug_422.txt"	"drug_422.txt"	0.0066224266343503
"Carvedilol.txt"	"Carvedilol.txt"	0.00788151014567352
"Niacin.txt"	"Niacin.txt"	0.00788151014567352
"drug_309.txt"	"drug_309.txt"	0.00826844780283966
"drug_363.txt"	"drug_363.txt"	0.00961800127323774
"drug_350.txt"	"drug_350.txt"	0.00968408209617708
"drug_298.txt"	"drug_298.txt"	0.0101744249613173
"drug_11.txt"	"drug_11.txt"	0.010192664138405
"drug_376.txt"	"drug_376.txt"	0.010543900864667
"4781.txt"	"4781.txt"	0.0106355570995784
"Nicotinyl_alcohol.txt"	"Nicotinyl_alcohol.txt"	0.0112352148258525
"drug_317.txt"	"drug_317.txt"	0.0112674027292973
"drug_389.txt"	"drug_389.txt"	0.0115635211290628
"drug_12.txt"	"drug_12.txt"	0.0125628234775525
"drug_19.txt"	"drug_19.txt"	0.0129981778466475
"drug_14.txt"	"drug_14.txt"	0.0136347025365275
"Acetylsalicylic_acid.txt"	"Acetylsalicylic_acid.txt"	0.0142969935933103
"drug_365.txt"	"drug_365.txt"	0.0142969935933103
"drug_425.txt"	"drug_425.txt"	0.014309982368313
"2244.txt"	"2244.txt"	0.0146380594098043
"drug_351.txt"	"drug_351.txt"	0.0149829271906489
"drug_439.txt"	"drug_439.txt"	0.0149858787601043
"Amlodipine.txt"	"Amlodipine.txt"	0.0151990587313735
"drug_409.txt"	"drug_409.txt"	0.0156783636227816
"drug_187.txt"	"drug_187.txt"	0.0171384678574882
"4173.txt"	"4173.txt"	0.0172206750094784
"drug_482.txt"	"drug_482.txt"	0.0176188238580912
"drug_17.txt"	"drug_17.txt"	0.0217800195885456
"drug_483.txt"	"drug_483.txt"	0.022040340777323
"4030.txt"	"4030.txt"	0.0230632558501732
"4913.txt"	"4913.txt"	0.0249391759642957
"Carteolol.txt"	"Carteolol.txt"	0.0251112101448471
"drug_311.txt"	"drug_311.txt"	0.0251112101448471
"drug_436.txt"	"drug_436.txt"	0.025619305782314
"drug_361.txt"	"drug_361.txt"	0.0259391538028806
"drug_395.txt"	"drug_395.txt"	0.0259391538028806
"drug_4.txt"	"drug_4.txt"	0.0259391538028806
"drug_372.txt"	"drug_372.txt"	0.027935243618777
"drug_8.txt"	"drug_8.txt"	0.0280244743685881
"drug_451.txt"	"drug_451.txt"	0.0291365832140195
"3182.txt"	"3182.txt"	0.0295802377202987
"drug_388.txt"	"drug_388.txt"	0.0299510999328335
"drug_61.txt"	"drug_61.txt"	0.0299510999328335
"9926791.txt"	"9926791.txt"	0.0303839427122181
"10127622.txt"	"10127622.txt"	0.0316687127088805
"drug_109.txt"	"drug_109.txt"	0.0325493280242978
"drug_461.txt"	"drug_461.txt"	0.0330019446471289
"drug_107.txt"	"drug_107.txt"	0.0349961696500798
"Metoprolol.txt"	"Metoprolol.txt"	0.0372855030846086
"drug_57.txt"	"drug_57.txt"	0.0395683584255577
"Dobutamine.txt"	"Dobutamine.txt"	0.0403909511753164
"drug_301.txt"	"drug_301.txt"	0.041200092762818
"drug_2.txt"	"drug_2.txt"	0.0416805431581578
"drug_302.txt"	"drug_302.txt"	0.0424488861862534
"drug_408.txt"	"drug_408.txt"	0.0424488861862534
"4614.txt"	"4614.txt"	0.0472511720865478
"drug_484.txt"	"drug_484.txt"	0.0481731180127687
"drug_490.txt"	"drug_490.txt"	0.0491100059731112
"drug_355.txt"	"drug_355.txt"	0.0495385032817971
"drug_50.txt"	"drug_50.txt"	0.0504311471575102
"drug_407.txt"	"drug_407.txt"	0.052490009410984
"drug_452.txt"	"drug_452.txt"	0.0527535310667947
"drug_487.txt"	"drug_487.txt"	0.0530108683821155
"drug_495.txt"	"drug_495.txt"	0.0530108683821155
"drug_454.txt"	"drug_454.txt"	0.0540254006342551
"drug_6.txt"	"drug_6.txt"	0.0550560617974974
"Chlorthalidone.txt"	"Chlorthalidone.txt"	0.0567871755649463
"drug_426.txt"	"drug_426.txt"	0.0576753281169251
"drug_433.txt"	"drug_433.txt"	0.0582468732912407
"drug_182.txt"	"drug_182.txt"	0.0604585262937358
"drug_30.txt"	"drug_30.txt"	0.0625085965768471
"drug_70.txt"	"drug_70.txt"	0.0625085965768471
"drug_374.txt"	"drug_374.txt"	0.0639069400215227
"drug_108.txt"	"drug_108.txt"	0.0650921982969999
"drug_59.txt"	"drug_59.txt"	0.0689932861060167
"drug_98.txt"	"drug_98.txt"	0.0712969456376021
