Gene_Symbol	logFC	pv
TP53	1	0.0918210921262944
BRCA1	0.97979797979798	0.0185171586884891
BRCA2	0.95959595959596	0.0460952124280336
EGFR	0.939393939393939	0.00657162930858917
VEGFA	0.919191919191919	0.09421697322467
MYC	0.898989898989899	0.0106167627161483
CDKN2A	0.878787878787879	0.0972669991861704
RB1	0.858585858585859	0.0742029850438179
PTEN	0.838383838383838	0.0344564827647833
BRAF	0.818181818181818	0.0317774899479858
KRAS	0.797979797979798	0.0618945401298728
NRAS	0.777777777777778	0.061642495817005
HRAS	0.757575757575758	0.0298561817952081
PIK3CA	0.737373737373737	0.0946557740609677
AKT1	0.717171717171717	0.0365614855192131
AKT2	0.696969696969697	0.0297457190924611
MTOR	0.676767676767677	0.0584787485160934
TSC1	0.656565656565657	0.0197015091516946
TSC2	0.636363636363636	0.0798743000308232
APC	0.616161616161616	0.0148362267538083
CTNNB1	0.595959595959596	0.0881008554771743
SMAD4	0.575757575757576	0.0624526066260842
FBXW7	0.555555555555556	0.0429096829563644
GNAS	0.535353535353535	0.0536606536091973
STK11	0.515151515151515	0.0793301860012651
VHL	0.494949494949495	0.0396376991022422
MEN1	0.474747474747475	0.0539930243130353
NF1	0.454545454545455	0.0414305360409678
NF2	0.434343434343434	0.00280815618608052
RET	0.414141414141414	0.0159495792552917
CDH1	0.393939393939394	0.0387572271960107
CDK4	0.373737373737374	0.036747770977059
CDK6	0.353535353535353	0.0504636716546106
CCND1	0.333333333333333	0.0700417961276614
CCNE1	0.313131313131313	0.0330841350279027
CDK2	0.292929292929293	0.00561972030776801
CDK1	0.272727272727273	0.000783934869784631
ERBB2	0.252525252525252	0.0188053632886806
ERBB3	0.232323232323232	0.0483607126386556
ERBB4	0.212121212121212	0.0413473937083644
KIT	0.191919191919192	0.0747792105527925
PDGFRA	0.171717171717172	0.0777744186033104
PDGFRB	0.151515151515151	0.0830085735907286
FLT3	0.131313131313131	0.0774446698056117
JAK2	0.111111111111111	0.0322903347961873
MPL	0.0909090909090909	0.0336240705114363
ABL1	0.0707070707070707	0.0443004540989943
SRC	0.0505050505050505	0.0856095679944083
LCK	0.0303030303030303	0.0548838990927795
LYN	0.0101010101010101	0.0147582268763799
CHIL3	-0.0101010101010102	0.0732053375324735
YES1	-0.0303030303030303	0.0928740672195509
FYN	-0.0505050505050506	0.0219762349593371
FGR	-0.0707070707070707	0.057100085884133
HCK	-0.0909090909090908	0.0208621640758491
BTK	-0.111111111111111	0.0732232899370366
TEC	0.131313131313131	0.0490118493702415
BMX	0.151515151515152	0.0651158304133006
ITK	0.171717171717172	0.0470399489226448
TXK	0.191919191919192	0.0450769355093591
JAK1	0.212121212121212	0.0412955970805061
JAK3	0.232323232323232	0.0801080639998332
MCOLN2	0.252525252525253	0.0326817106190287
STAT3	0.272727272727273	0.00200706371991899
STAT5A	0.292929292929293	0.0530539043599465
STAT5B	0.313131313131313	0.0577573142403637
IL2RA	0.333333333333333	0.0747454101273913
IL2RB	0.353535353535354	0.0989306021629567
IL2RG	0.373737373737374	0.0899045609307993
IL3RA	0.393939393939394	0.0701776644633071
IL4R	0.414141414141414	0.0617541520821742
IL5RA	0.434343434343434	0.0278286872273306
IL6R	0.454545454545455	0.0733852542497221
IL7R	0.474747474747475	0.0313589129978666
IL9R	0.494949494949495	0.0827697338168658
IL13RA1	0.515151515151515	0.0279370534950026
IL21R	0.535353535353535	0.000578913951858695
IL23R	0.555555555555556	0.072327757637683
IL10RA	0.575757575757576	0.0662402763006536
IL10RB	0.595959595959596	0.0565135668682565
IL12RB1	0.616161616161616	0.0900423455295442
IL12RB2	0.636363636363636	0.088772017178097
CSF2RA	0.656565656565657	0.0639886653859175
CSF2RB	0.676767676767677	0.0829745588734646
IFNAR1	0.696969696969697	0.0498693424012263
IFNAR2	0.717171717171717	0.0508949884538424
IFNGR1	0.737373737373737	0.0204609029835677
IFNGR2	0.757575757575758	0.085717269613631
BCL2L15	0.777777777777778	0.0352887556873146
ACTB	0.797979797979798	0.0061243523674662
GAPDH	0.818181818181818	0.0995117472021771
TUBB1	0.838383838383838	0.0156903510069803
TUBB2	0.858585858585859	0.0650126524989279
TUBB3	0.878787878787879	0.0497767422278713
TUBB4	0.898989898989899	0.0770512393589296
TUBB6	0.919191919191919	0.0211794265045235
IL17RA	0.939393939393939	0.0287229876128908
MAP3K9	0.95959595959596	0.0682228285631069
MOB3C	0.97979797979798	0.0647044053455968
ZBP1	1	0.0958440546758219
