Gene_Symbol	logFC	pv
TP53	1	0.0566030139190932
BRCA1	0.97979797979798	0.0825490196090584
BRCA2	0.95959595959596	0.0849565840860105
EGFR	0.939393939393939	0.0452865907790432
VEGFA	0.919191919191919	0.0220730492952203
MYC	0.898989898989899	0.0341848101358394
CDKN2A	0.878787878787879	0.0960788801062048
RB1	0.858585858585859	0.0309162364341823
PTEN	0.838383838383838	0.0631616226354257
BRAF	0.818181818181818	0.0940720846800986
KRAS	0.797979797979798	0.0805727592543587
NRAS	0.777777777777778	0.0262264871395423
HRAS	0.757575757575758	0.00399634189712579
PIK3CA	0.737373737373737	0.0555082434629625
AKT1	0.717171717171717	0.0200434268242898
AKT2	0.696969696969697	0.0418869241412345
MTOR	0.676767676767677	0.0998960619302952
TSC1	0.656565656565657	0.0590758364234944
TSC2	0.636363636363636	0.0348193497467303
APC	0.616161616161616	0.016223060579339
CTNNB1	0.595959595959596	0.0477026616812953
SMAD4	0.575757575757576	0.0790189382717713
FBXW7	0.555555555555556	0.0460681922912041
GNAS	0.535353535353535	0.0525917954406047
STK11	0.515151515151515	0.0573668771947556
VHL	0.494949494949495	0.0841013699341175
MEN1	0.474747474747475	0.0768464535811244
NF1	0.454545454545455	0.010252502603408
NF2	0.434343434343434	0.0537244668493617
RET	0.414141414141414	0.0987074408671148
CDH1	0.393939393939394	0.057259508467828
CDK4	0.373737373737374	0.0509312351766901
CDK6	0.353535353535353	0.0543723281589084
CCND1	0.333333333333333	0.0704699498273669
CCNE1	0.313131313131313	0.0328675698375815
CDK2	0.292929292929293	0.0399037144215107
CDK1	0.272727272727273	0.0698002334436115
ERBB2	0.252525252525252	0.0648340983099686
ERBB3	0.232323232323232	0.03119094015704
ERBB4	0.212121212121212	0.0406605807713895
KIT	0.191919191919192	0.0600033859784279
PDGFRA	0.171717171717172	0.0407248972602332
PDGFRB	0.151515151515151	0.0464768342472109
FLT3	0.131313131313131	0.00975721808577603
JAK2	0.111111111111111	0.0300573001050186
MPL	0.0909090909090909	0.0524772400704578
ABL1	0.0707070707070707	0.00593456516366722
SRC	0.0505050505050505	0.0910442275297747
LCK	0.0303030303030303	0.060755359501994
LYN	0.0101010101010101	0.0855722295463579
CHIL3	-0.0101010101010102	0.0748830219015797
YES1	-0.0303030303030303	0.0629397306226657
FYN	-0.0505050505050506	0.0123790885942174
FGR	-0.0707070707070707	0.0832232397162798
HCK	-0.0909090909090908	0.00745366268807821
BTK	-0.111111111111111	0.00962002828780371
TEC	-0.131313131313131	0.0557924641961964
BMX	-0.151515151515152	0.0997557213103988
ITK	-0.171717171717172	0.0127357321215253
TXK	-0.191919191919192	0.0569121404171376
JAK1	-0.212121212121212	0.0289377791769784
JAK3	-0.232323232323232	0.018873578706841
MCOLN2	-0.252525252525253	0.0629326156174809
STAT3	-0.272727272727273	0.0402743047848865
STAT5A	-0.292929292929293	0.0748874284544716
STAT5B	-0.313131313131313	0.0707122123770148
IL2RA	-0.333333333333333	0.0449262017744541
IL2RB	-0.353535353535354	0.0986150313568182
IL2RG	-0.373737373737374	0.0341118012257471
IL3RA	-0.393939393939394	0.0430166906134176
IL4R	0.414141414141414	0.044639363628988
IL5RA	0.434343434343434	0.0209566943941176
IL6R	0.454545454545455	0.0656090132666353
IL7R	0.474747474747475	0.00738814383978195
IL9R	0.494949494949495	0.0450772245791892
IL13RA1	0.515151515151515	0.00928730649399725
IL21R	0.535353535353535	0.0938707806388113
IL23R	0.555555555555556	0.0214100203356551
IL10RA	0.575757575757576	0.0245602752685127
IL10RB	0.595959595959596	0.0706179620929866
IL12RB1	0.616161616161616	0.0890061024755742
IL12RB2	0.636363636363636	0.0482584600053542
CSF2RA	0.656565656565657	0.0173936851874299
CSF2RB	0.676767676767677	0.0635898692332582
IFNAR1	0.696969696969697	0.0111988669286564
IFNAR2	0.717171717171717	0.0853403891347185
IFNGR1	0.737373737373737	0.0713168384195566
IFNGR2	0.757575757575758	0.01333281380738
BCL2L15	0.777777777777778	0.0963378020976567
ACTB	0.797979797979798	0.0673741701581804
GAPDH	0.818181818181818	0.0261272480808838
TUBB1	0.838383838383838	0.0751077263025543
TUBB2	0.858585858585859	0.0432406440810741
TUBB3	0.878787878787879	0.013478412553404
TUBB4	0.898989898989899	0.0877680998259532
TUBB6	0.919191919191919	0.0890736535116865
IL17RA	0.939393939393939	0.0333247684334285
MAP3K9	0.95959595959596	0.00517502034109043
MOB3C	0.97979797979798	0.0691157725731369
ZBP1	1	0.0808702830155461
