Gene_Symbol	logFC	pv
TP53	1	0.0421660450742866
BRCA1	0.97979797979798	0.00802847368218664
BRCA2	0.95959595959596	0.0964994013756094
EGFR	0.939393939393939	0.0340085198301885
VEGFA	-0.919191919191919	0.0775930093111928
MYC	-0.898989898989899	0.0126121295389424
CDKN2A	-0.878787878787879	0.0131911438884355
RB1	-0.858585858585859	0.0022233844768671
PTEN	-0.838383838383838	0.0547531419331751
BRAF	-0.818181818181818	0.098873448893697
KRAS	-0.797979797979798	0.0969798625334274
NRAS	-0.777777777777778	0.0642402886578076
HRAS	-0.757575757575758	0.00696236140277371
PIK3CA	-0.737373737373737	0.00636841158703874
AKT1	-0.717171717171717	0.0710912079781036
AKT2	-0.696969696969697	0.011344964328223
MTOR	-0.676767676767677	0.0779361114516963
TSC1	-0.656565656565657	0.0191250159084248
TSC2	-0.636363636363636	0.042028153690114
APC	-0.616161616161616	0.00513268077233917
CTNNB1	-0.595959595959596	0.011165547380887
SMAD4	-0.575757575757576	0.0897772068094497
FBXW7	-0.555555555555556	0.0369121731213749
GNAS	-0.535353535353535	0.0231378704639958
STK11	-0.515151515151515	0.0936469192795602
VHL	-0.494949494949495	0.0571662319072786
MEN1	-0.474747474747475	0.0389692059322922
NF1	-0.454545454545455	0.0045338157168338
NF2	-0.434343434343434	0.0773487470804955
RET	-0.414141414141414	0.0350290017324085
CDH1	-0.393939393939394	0.0911058678535465
CDK4	-0.373737373737374	0.00207364646738952
CDK6	-0.353535353535353	0.0330532897175249
CCND1	-0.333333333333333	0.0681556191758958
CCNE1	-0.313131313131313	0.0238544428893587
CDK2	-0.292929292929293	0.0487422546369594
CDK1	-0.272727272727273	0.0688779543279001
ERBB2	-0.252525252525252	0.0775145913577916
ERBB3	-0.232323232323232	0.0522330951257242
ERBB4	-0.212121212121212	0.0826568610112595
KIT	-0.191919191919192	0.0797319526971098
PDGFRA	-0.171717171717172	0.0724120014207514
PDGFRB	-0.151515151515151	0.0619149816698009
FLT3	-0.131313131313131	0.0268457827106964
JAK2	-0.111111111111111	0.0268694722267274
MPL	-0.0909090909090909	0.0974302543006388
ABL1	-0.0707070707070707	0.0994835694624538
SRC	-0.0505050505050505	0.0159668493484766
LCK	-0.0303030303030303	0.0790511688669984
LYN	-0.0101010101010101	0.00790557558941742
CHIL3	0.0101010101010102	0.0957409881249074
YES1	0.0303030303030303	0.0881778101388243
FYN	0.0505050505050506	0.0619216909451385
FGR	0.0707070707070707	0.0598363924347297
HCK	0.0909090909090908	0.0816137198725254
BTK	0.111111111111111	0.0946823687732383
TEC	0.131313131313131	0.0511654868876935
BMX	0.151515151515152	0.0397147162652843
ITK	0.171717171717172	0.0200598671039327
TXK	0.191919191919192	0.0134510840790107
JAK1	0.212121212121212	0.0317421177308209
JAK3	0.232323232323232	0.0047498352415289
MCOLN2	0.252525252525253	0.0367316798020152
STAT3	0.272727272727273	0.0178226885611402
STAT5A	0.292929292929293	0.0117639682859863
STAT5B	0.313131313131313	0.0137806659570586
IL2RA	0.333333333333333	0.01950549961478
IL2RB	0.353535353535354	0.0397573101563175
IL2RG	0.373737373737374	0.0899144101303254
IL3RA	0.393939393939394	0.089885165307814
IL4R	0.414141414141414	0.000190816668624549
IL5RA	0.434343434343434	0.0651300411458188
IL6R	0.454545454545455	0.00207639647080278
IL7R	0.474747474747475	0.00488992085334843
IL9R	0.494949494949495	0.078915270054264
IL13RA1	0.515151515151515	0.002375188432935
IL21R	0.535353535353535	0.0212259446393123
IL23R	0.555555555555556	0.0278205776672962
IL10RA	0.575757575757576	0.0963101847663818
IL10RB	0.595959595959596	0.0128347675399802
IL12RB1	0.616161616161616	0.0176302677619891
IL12RB2	0.636363636363636	0.0495367778626488
CSF2RA	0.656565656565657	0.0644611579220165
CSF2RB	0.676767676767677	0.0822082749699568
IFNAR1	0.696969696969697	0.0497772342602676
IFNAR2	0.717171717171717	0.0266489419315491
IFNGR1	0.737373737373737	0.0937223165797672
IFNGR2	0.757575757575758	0.0374858962586252
BCL2L15	0.777777777777778	0.00386464353359948
ACTB	0.797979797979798	0.0731661650090402
GAPDH	0.818181818181818	0.078315699682096
TUBB1	0.838383838383838	0.0766779863640089
TUBB2	0.858585858585859	0.0175202896942526
TUBB3	0.878787878787879	0.0385848924055551
TUBB4	0.898989898989899	0.0538557987963241
TUBB6	0.919191919191919	0.0225963012522847
IL17RA	0.939393939393939	0.0559452238232485
MAP3K9	0.95959595959596	0.0182695335039128
MOB3C	0.97979797979798	0.00957315768636668
ZBP1	1	0.0440259708915441
