Gene_Symbol	logFC	pv
TP53	1	0.0228847251128204
BRCA1	0.97979797979798	0.0867245719762536
BRCA2	0.95959595959596	0.0241860415936042
EGFR	0.939393939393939	0.0152955074361309
VEGFA	0.919191919191919	0.0637986953723715
MYC	0.898989898989899	0.0442994893183723
CDKN2A	0.878787878787879	0.0349256018043089
RB1	0.858585858585859	0.0390513950798997
PTEN	0.838383838383838	0.0644779785738539
BRAF	0.818181818181818	0.00211050175677485
KRAS	0.797979797979798	0.0137375933479301
NRAS	0.777777777777778	0.0188769254865413
HRAS	0.757575757575758	0.0915072576959137
PIK3CA	0.737373737373737	0.0106222356585633
AKT1	0.717171717171717	0.0144044187203942
AKT2	0.696969696969697	0.0149763120513192
MTOR	0.676767676767677	0.00502382183347869
TSC1	0.656565656565657	0.0272919965791004
TSC2	0.636363636363636	0.045110323277434
APC	0.616161616161616	0.00530698847830209
CTNNB1	0.595959595959596	0.0690131931845304
SMAD4	0.575757575757576	0.0532934903825165
FBXW7	0.555555555555556	0.0967170024814944
GNAS	0.535353535353535	0.0111323324302525
STK11	0.515151515151515	0.000919627553435376
VHL	0.494949494949495	0.0992987876965089
MEN1	0.474747474747475	0.0420521307799742
NF1	0.454545454545455	0.0221678750703354
NF2	0.434343434343434	0.042567762365282
RET	0.414141414141414	0.00227519006477763
CDH1	0.393939393939394	0.076281007312863
CDK4	0.373737373737374	0.0858155348028355
CDK6	0.353535353535353	0.0394656150186766
CCND1	0.333333333333333	0.0212415864582908
CCNE1	0.313131313131313	0.0904518536136532
CDK2	0.292929292929293	0.0828146572944867
CDK1	0.272727272727273	0.0997651433155841
ERBB2	0.252525252525252	0.0681885476200492
ERBB3	0.232323232323232	0.0793190466363509
ERBB4	0.212121212121212	0.0236293817730591
KIT	0.191919191919192	0.0257954499460599
PDGFRA	0.171717171717172	0.0856829492971229
PDGFRB	0.151515151515151	0.0521377580634816
FLT3	0.131313131313131	0.0184804919055075
JAK2	0.111111111111111	0.0362687258230967
MPL	0.0909090909090909	0.0213990000084593
ABL1	-0.0707070707070707	0.0331826291751806
SRC	-0.0505050505050505	0.0656203545042807
LCK	-0.0303030303030303	0.0249159637083242
LYN	-0.0101010101010101	0.00485333085730986
CHIL3	0.0101010101010102	0.0444792708377786
YES1	0.0303030303030303	0.072808207147299
FYN	0.0505050505050506	0.0881766152929277
FGR	0.0707070707070707	0.0374449402731059
HCK	0.0909090909090908	0.0641700716517388
BTK	0.111111111111111	0.0455988327746518
TEC	0.131313131313131	0.0401944929499113
BMX	0.151515151515152	0.0245464317092086
ITK	0.171717171717172	0.0528970552333714
TXK	0.191919191919192	0.00170196169322665
JAK1	0.212121212121212	0.0651246130037141
JAK3	0.232323232323232	0.0204587934801893
MCOLN2	0.252525252525253	0.0607188812424479
STAT3	0.272727272727273	0.0760564754292737
STAT5A	0.292929292929293	0.014808121821196
STAT5B	0.313131313131313	0.0126881033451468
IL2RA	0.333333333333333	0.0368435653586555
IL2RB	0.353535353535354	0.0782090587683207
IL2RG	0.373737373737374	0.0822132205641413
IL3RA	0.393939393939394	0.031951652382044
IL4R	0.414141414141414	0.00262263220378109
IL5RA	0.434343434343434	0.0279702623618952
IL6R	0.454545454545455	0.088469890307687
IL7R	0.474747474747475	0.0558582294021477
IL9R	0.494949494949495	0.0488982434535796
IL13RA1	0.515151515151515	0.0920834047111733
IL21R	0.535353535353535	0.0424584976714659
IL23R	0.555555555555556	0.0461803448733846
IL10RA	0.575757575757576	0.0363168923334822
IL10RB	0.595959595959596	0.0527872654089627
IL12RB1	0.616161616161616	0.0281728133807608
IL12RB2	0.636363636363636	0.0674551583067739
CSF2RA	0.656565656565657	0.0113285565956158
CSF2RB	0.676767676767677	0.0767485074833452
IFNAR1	0.696969696969697	0.0657048835236015
IFNAR2	0.717171717171717	0.0252884615610768
IFNGR1	0.737373737373737	0.0712982861810527
IFNGR2	0.757575757575758	0.00201312178883697
BCL2L15	0.777777777777778	0.078743336946491
ACTB	0.797979797979798	0.00972741878740351
GAPDH	0.818181818181818	0.0848001003307797
TUBB1	0.838383838383838	0.0925693168840958
TUBB2	0.858585858585859	0.0948013734863327
TUBB3	0.878787878787879	0.0575105280177453
TUBB4	0.898989898989899	0.0833853131715696
TUBB6	0.919191919191919	0.0100810899689883
IL17RA	0.939393939393939	0.0466716378191368
MAP3K9	0.95959595959596	0.0585576059492496
MOB3C	0.97979797979798	0.019876028018761
ZBP1	1	0.0446586144782465
