Gene_Symbol	logFC	pv
TP53	1	0.0891003395178576
BRCA1	0.97979797979798	0.0148565569834787
BRCA2	0.95959595959596	0.0758507017875896
EGFR	0.939393939393939	0.0110922575234206
VEGFA	0.919191919191919	0.0756697145878722
MYC	0.898989898989899	0.0600095155082983
CDKN2A	0.878787878787879	0.0474617923786536
RB1	0.858585858585859	0.0563522863319811
PTEN	0.838383838383838	0.0641759306086573
BRAF	0.818181818181818	0.0813541285856715
KRAS	0.797979797979798	0.0389700640603589
NRAS	0.777777777777778	0.0212851097902693
HRAS	-0.757575757575758	0.0244357730100067
PIK3CA	-0.737373737373737	0.0849397140068561
AKT1	-0.717171717171717	0.0203354633555005
AKT2	-0.696969696969697	0.0166193640119936
MTOR	-0.676767676767677	0.0240650929599315
TSC1	-0.656565656565657	0.0383467430764611
TSC2	-0.636363636363636	0.00285185960634031
APC	-0.616161616161616	0.0586444192862409
CTNNB1	-0.595959595959596	0.0708257547254451
SMAD4	-0.575757575757576	0.0511074793264328
FBXW7	-0.555555555555556	0.0560664489634757
GNAS	-0.535353535353535	0.081423490349318
STK11	-0.515151515151515	0.0448294535057773
VHL	-0.494949494949495	0.099793290473086
MEN1	-0.474747474747475	0.0401339674038095
NF1	-0.454545454545455	0.0950659393736679
NF2	-0.434343434343434	0.0863825958232869
RET	-0.414141414141414	0.0852255513799378
CDH1	-0.393939393939394	0.0184776200118147
CDK4	-0.373737373737374	0.0127446094195285
CDK6	-0.353535353535353	0.0731050215934705
CCND1	-0.333333333333333	0.0295677302275763
CCNE1	-0.313131313131313	0.0321130850522305
CDK2	-0.292929292929293	0.0704414046350387
CDK1	-0.272727272727273	0.0510180453597233
ERBB2	-0.252525252525252	0.0785700592958989
ERBB3	-0.232323232323232	0.099083092109397
ERBB4	-0.212121212121212	0.0377058624211607
KIT	-0.191919191919192	0.0571873851208938
PDGFRA	-0.171717171717172	0.0878127919837809
PDGFRB	-0.151515151515151	0.054542435018632
FLT3	-0.131313131313131	0.0940210483490795
JAK2	-0.111111111111111	0.0976498119501773
MPL	-0.0909090909090909	0.0368395951765876
ABL1	-0.0707070707070707	0.0188338937183726
SRC	-0.0505050505050505	0.0917551530796494
LCK	-0.0303030303030303	0.0929870734525299
LYN	-0.0101010101010101	0.0285617770729189
CHIL3	0.0101010101010102	0.0924239357582504
YES1	0.0303030303030303	0.0752645881370022
FYN	0.0505050505050506	0.0270876002845402
FGR	0.0707070707070707	0.0167819613485761
HCK	0.0909090909090908	0.0431552792578383
BTK	0.111111111111111	0.09769657038159
TEC	0.131313131313131	0.0922189787155805
BMX	0.151515151515152	0.0372301453179702
ITK	0.171717171717172	0.00856595587350419
TXK	0.191919191919192	0.00767005966173073
JAK1	0.212121212121212	0.00819794479206486
JAK3	0.232323232323232	0.0487859788010383
MCOLN2	0.252525252525253	0.0649784460466247
STAT3	0.272727272727273	0.0416098766471329
STAT5A	0.292929292929293	0.0556780083277761
STAT5B	0.313131313131313	0.0748012279672153
IL2RA	0.333333333333333	0.0669473007253597
IL2RB	0.353535353535354	0.0924487845129185
IL2RG	0.373737373737374	0.0366785289324813
IL3RA	0.393939393939394	0.0494209007571072
IL4R	0.414141414141414	0.082051445124257
IL5RA	0.434343434343434	0.0591376751983269
IL6R	0.454545454545455	0.000566422858436866
IL7R	0.474747474747475	0.0518780638272389
IL9R	0.494949494949495	0.00382261216115261
IL13RA1	0.515151515151515	0.0554186646605693
IL21R	0.535353535353535	0.0246984598398942
IL23R	0.555555555555556	0.0608161315736027
IL10RA	0.575757575757576	0.0320211072391526
IL10RB	0.595959595959596	0.051186278131221
IL12RB1	0.616161616161616	0.0475765945743479
IL12RB2	0.636363636363636	0.0902460119157084
CSF2RA	0.656565656565657	0.047023893272927
CSF2RB	0.676767676767677	0.0801169021100741
IFNAR1	0.696969696969697	0.0332117492960268
IFNAR2	0.717171717171717	0.0148091074144389
IFNGR1	0.737373737373737	0.0516098365431173
IFNGR2	0.757575757575758	0.00677770094953942
BCL2L15	0.777777777777778	0.0207962032720122
ACTB	0.797979797979798	0.0421884502042403
GAPDH	0.818181818181818	0.0070574013503542
TUBB1	0.838383838383838	0.0528871486414765
TUBB2	0.858585858585859	0.0389270332593728
TUBB3	0.878787878787879	0.00894935139302788
TUBB4	0.898989898989899	0.0946681557812024
TUBB6	0.919191919191919	0.0226066170677406
IL17RA	0.939393939393939	0.0514911672478423
MAP3K9	0.95959595959596	0.0285205262716673
MOB3C	0.97979797979798	0.00236468344229444
ZBP1	1	0.0915749967657796
